obj_name,obj_name_alt,obj_name_ext,img_link
call,Image of call,call.png,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/131609d6-89e6-4635-c084-e8d6cb47fb00/public
share_link,Image of share_link,share_link.png,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/5d5d328b-dbc4-4036-d76d-16280f74e200/public
start_game,Image of start_game,start_game.png,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/e8993b46-2fec-43e3-fa59-318fd3891400/public
start_session,Image of start_session,start_session.png,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/8ea9a7d4-e3cc-461b-bcf1-26061e169d00/public
